RowID,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Category,is_current,Start_date,End_date
1,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,Furniture,Y,10/20/2024,
2,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,Furniture,Y,10/20/2025,
3,6/16/2016,Second Class,DV-13045,Darrin Van Huff,Corporate,Office Supplies,Y,10/20/2026,
4,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,Furniture,Y,10/20/2027,
5,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,Office Supplies,Y,10/20/2028,
6,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,,Furniture,Y,10/20/2029,
7,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,,Office Supplies,Y,10/20/2030,
8,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,,Technology,Y,10/20/2031,
9,6/14/2014,,BH-11710,Brosina Hoffman,,Office Supplies,Y,10/20/2032,
10,6/14/2014,,BH-11710,Brosina Hoffman,,Office Supplies,Y,10/20/2033,
11,6/14/2014,,BH-11710,Brosina Hoffman,,Furniture,Y,10/20/2034,
12,6/14/2014,,BH-11710,Brosina Hoffman,,Technology,Y,10/20/2035,
13,4/20/2017,,AA-10480,Andrew Allen,,Office Supplies,Y,10/20/2036,
14,12/10/2016,,IM-15070,Irene Maddox,,Office Supplies,Y,10/20/2037,
15,11/26/2015,,HP-14815,Harold Pawlan,,Office Supplies,Y,10/20/2038,
16,11/26/2015,,HP-14815,Harold Pawlan,,Office Supplies,Y,10/20/2039,
17,11/18/2014,,PK-19075,Pete Kriz,,Office Supplies,Y,10/20/2040,
18,5/15/2014,,AG-10270,Alejandro Grove,,Office Supplies,Y,10/20/2041,
19,9/1/2014,,ZD-21925,Zuschuss Donatelli,Consumer,Office Supplies,Y,10/20/2042,
20,9/1/2014,,ZD-21925,Zuschuss Donatelli,Consumer,Technology,Y,10/20/2043,
21,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,Office Supplies,Y,10/20/2044,
22,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,Office Supplies,Y,10/20/2045,
